created_at,id,id_str,text,full_text,truncated,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,favorited_by,retweeted,scopes,lang,possibly_sensitive,display_text_width,display_text_range,retweeted_status,quoted_status,quoted_status_id,quoted_status_id_str,quoted_status_permalink,quote_count,timestamp_ms,reply_count,filter_level,metadata,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2023-02-04T23:00:00Z,1622007092239552500,1622007092239552512,"👑 Las reinas del segmento de #EnContacto indicaron que han tenido inconvenientes con el presentador de #LosHackersDeLaFarándula, a quien lo criticaron duramente 😱

▶️ Mira el video aquí: https://t.co/8oIbgszdez https://t.co/xQUuQBWt8H","👑 Las reinas del segmento de #EnContacto indicaron que han tenido inconvenientes con el presentador de #LosHackersDeLaFarándula, a quien lo criticaron duramente 😱

▶️ Mira el video aquí: https://t.co/8oIbgszdez https://t.co/xQUuQBWt8H",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1,2,FALSE,NA,FALSE,NA,es,FALSE,NA,210,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-04T22:12:37Z,1621995164490236e3,1621995164490235905,"Alejandra Jaramillo admitió la ""química"" 🧪 que usuarios en redes observaron, tras su interacción con Adrián Di Monte.

Sin embargo, dejó algo en claro 👉 https://t.co/hLg6zA4yFF https://t.co/xvian6tbJA","Alejandra Jaramillo admitió la ""química"" 🧪 que usuarios en redes observaron, tras su interacción con Adrián Di Monte.

Sin embargo, dejó algo en claro 👉 https://t.co/hLg6zA4yFF https://t.co/xvian6tbJA",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,9,23,FALSE,NA,FALSE,NA,es,FALSE,NA,176,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-04T22:00:00Z,1621991990169665500,1621991990169665537,"🐕 Bobi tiene 30 años y parece tener una fórmula que todos los dueños de mascotas quisieran saber. El can fue reconocido por el Récord Guinness, esta es su emotiva historia.

Te contamos 📲 https://t.co/xUoxGXIYuE https://t.co/JYr24JqWfC","🐕 Bobi tiene 30 años y parece tener una fórmula que todos los dueños de mascotas quisieran saber. El can fue reconocido por el Récord Guinness, esta es su emotiva historia.

Te contamos 📲 https://t.co/xUoxGXIYuE https://t.co/JYr24JqWfC",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,9,17,FALSE,NA,FALSE,NA,es,FALSE,NA,211,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-04T21:30:00Z,1621984440137252900,1621984440137252869,Así fue el paso a paso de #Shakira para descubrir la infidelidad de #Piqué ▶️💔🔥 https://t.co/LmZYvkGHAP https://t.co/N4XolQElTR,Así fue el paso a paso de #Shakira para descubrir la infidelidad de #Piqué ▶️💔🔥 https://t.co/LmZYvkGHAP https://t.co/N4XolQElTR,FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,4,6,FALSE,NA,FALSE,NA,es,FALSE,NA,103,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-04T21:09:46Z,1621979349619544e3,1621979349619544071,"El supuesto ""novio latino"" de Amber Heard habló con https://t.co/N7lEPrrMb4 💻 y contó la historia detrás del video donde baila con la actriz.

¿Qué ocurrió en realidad? 👉 https://t.co/Nm5oHoTlC3 https://t.co/GXxLpTxMKm","El supuesto ""novio latino"" de Amber Heard habló con https://t.co/N7lEPrrMb4 💻 y contó la historia detrás del video donde baila con la actriz.

¿Qué ocurrió en realidad? 👉 https://t.co/Nm5oHoTlC3 https://t.co/GXxLpTxMKm",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,2,12,FALSE,NA,FALSE,NA,es,FALSE,NA,194,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-04T18:29:09Z,1621938929602535400,1621938929602535430,"Ricardo Montaner reveló una fotografía 📸 inédita en la que dejaría en claro que Evaluna y su nieta Índigo son dos ""gotas de agua"" 💧.

¿Lo viste? 👉 https://t.co/jA6tTuxbsN https://t.co/9NG68nZs79","Ricardo Montaner reveló una fotografía 📸 inédita en la que dejaría en claro que Evaluna y su nieta Índigo son dos ""gotas de agua"" 💧.

¿Lo viste? 👉 https://t.co/jA6tTuxbsN https://t.co/9NG68nZs79",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,9,29,FALSE,NA,FALSE,NA,es,FALSE,NA,170,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-04T17:30:04Z,1621924059591082e3,1621924059591081985,"😶 La pareja de celebridades experimentó una tensa discusión alrededor del consumo de alcohol de Ben Affleck en un evento público, sin saber que estaban siendo grabados 🤳.

Te contamos 👉 https://t.co/ZSqSeh0zeA https://t.co/F39ATF8za9","😶 La pareja de celebridades experimentó una tensa discusión alrededor del consumo de alcohol de Ben Affleck en un evento público, sin saber que estaban siendo grabados 🤳.

Te contamos 👉 https://t.co/ZSqSeh0zeA https://t.co/F39ATF8za9",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,10,25,FALSE,NA,FALSE,NA,es,FALSE,NA,209,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-04T17:00:00Z,1621916494715129900,1621916494715129858,"💃El video va ganando más vistas con el paso del tiempo. 

Esta es la historia detrás de su 🫣reaparición. Te contamos 📲 https://t.co/8OVilijGAk https://t.co/36w8qLOeom","💃El video va ganando más vistas con el paso del tiempo. 

Esta es la historia detrás de su 🫣reaparición. Te contamos 📲 https://t.co/8OVilijGAk https://t.co/36w8qLOeom",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,9,FALSE,NA,FALSE,NA,es,FALSE,NA,142,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-04T16:16:30Z,1621905545471860700,1621905545471860738,"📢 Lo que empezó como un divertido plan de cumpleaños terminó en una inesperada retención a la actriz Nina Caicedo en pleno aeropuerto mexicano.

¿Qué ocurrió? 👉 https://t.co/fuqhWtuZ2N https://t.co/g9ASP17I3b","📢 Lo que empezó como un divertido plan de cumpleaños terminó en una inesperada retención a la actriz Nina Caicedo en pleno aeropuerto mexicano.

¿Qué ocurrió? 👉 https://t.co/fuqhWtuZ2N https://t.co/g9ASP17I3b",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,7,13,FALSE,NA,FALSE,NA,es,FALSE,NA,184,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-04T16:00:01Z,1621901398756712400,1621901398756712448,"📌 #AmberHeard cambió su identidad, vive en una recóndita zona de Europa con un nuevo nombre.

📸Te mostramos las fotos 📲 https://t.co/flAJYVfcTg https://t.co/EjrjtOKEgq","📌 #AmberHeard cambió su identidad, vive en una recóndita zona de Europa con un nuevo nombre.

📸Te mostramos las fotos 📲 https://t.co/flAJYVfcTg https://t.co/EjrjtOKEgq",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,4,7,FALSE,NA,FALSE,NA,es,FALSE,NA,143,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-04T15:00:03Z,1621886307034337300,1621886307034337280,"🗣️ 'La Bomba' volvió al Ecuador tras aproximadamente cuatro años de mudarse a los Estados Unidos. 

Esta es la razón de su regreso 📲 https://t.co/YdBOY0MHQW https://t.co/HyKpdu0oJq","🗣️ 'La Bomba' volvió al Ecuador tras aproximadamente cuatro años de mudarse a los Estados Unidos. 

Esta es la razón de su regreso 📲 https://t.co/YdBOY0MHQW https://t.co/HyKpdu0oJq",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1,18,FALSE,NA,FALSE,NA,es,FALSE,NA,156,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-04T14:00:01Z,1621871200598204400,1621871200598204416,"💃 Amber Heard baila al son de una canción de Selena junto a un joven latino. El video va ganando más vistas con el paso del tiempo. 

🗣️ Esta es la historia detrás de su reaparición. Te contamos 📲 https://t.co/8OVilijGAk https://t.co/1q8n2YzJTg","💃 Amber Heard baila al son de una canción de Selena junto a un joven latino. El video va ganando más vistas con el paso del tiempo. 

🗣️ Esta es la historia detrás de su reaparición. Te contamos 📲 https://t.co/8OVilijGAk https://t.co/1q8n2YzJTg",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,5,19,FALSE,NA,FALSE,NA,es,FALSE,NA,220,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-04T02:04:52Z,1621691225425301500,1621691225425301511,"📢 El actor también deberá tomar clases para el manejo de la ira y hacer trabajo comunitario.

Más detalles 📲 https://t.co/gJmtr4qN1n https://t.co/l8LUw6AWa5","📢 El actor también deberá tomar clases para el manejo de la ira y hacer trabajo comunitario.

Más detalles 📲 https://t.co/gJmtr4qN1n https://t.co/l8LUw6AWa5",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,20,41,FALSE,NA,FALSE,NA,es,FALSE,NA,132,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-04T01:51:57Z,1621687976244699100,1621687976244699136,"🗣️ El exesposo de la coach deportiva Karla 'Fit' también se pronunció por medio de un video, donde desmintió las declaraciones de Pérez 😲

Los detalles 👉 https://t.co/Q8rN85m6nJ https://t.co/FTyuWkAiZW","🗣️ El exesposo de la coach deportiva Karla 'Fit' también se pronunció por medio de un video, donde desmintió las declaraciones de Pérez 😲

Los detalles 👉 https://t.co/Q8rN85m6nJ https://t.co/FTyuWkAiZW",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,6,26,FALSE,NA,FALSE,NA,es,FALSE,NA,177,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-04T01:13:49Z,1621678379610013700,1621678379610013698,"Más de 1 millón de aves fueron sacrificadas por influenza aviar.

@fabiolasantana2 con el informe.

Más detalles en https://t.co/3TZRGMqfBV https://t.co/ReLXIdBGLO","Más de 1 millón de aves fueron sacrificadas por influenza aviar.

@fabiolasantana2 con el informe.

Más detalles en https://t.co/3TZRGMqfBV https://t.co/ReLXIdBGLO",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,10,14,FALSE,NA,FALSE,NA,es,FALSE,NA,139,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-04T01:00:02Z,1621674910669017e3,1621674910669017090,Así fue el paso a paso de #Shakira para descubrir la infidelidad de #Piqué ▶️💔🔥 https://t.co/LmZYvkGHAP https://t.co/ZCpK02J45C,Así fue el paso a paso de #Shakira para descubrir la infidelidad de #Piqué ▶️💔🔥 https://t.co/LmZYvkGHAP https://t.co/ZCpK02J45C,FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,10,19,FALSE,NA,FALSE,NA,es,FALSE,NA,103,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-04T00:40:35Z,1621670013651357700,1621670013651357697,"📌 La pareja superó la crisis que atravesaba hace unos meses para darse una nueva oportunidad ❤️. Sin embargo, Érika Valencia aseguró que esta es la última vez que disculpa al futbolista Kevin Mina 😱

▶️ Mira el video aquí: https://t.co/MOsVikalUy https://t.co/vZXC0PLQCk","📌 La pareja superó la crisis que atravesaba hace unos meses para darse una nueva oportunidad ❤️. Sin embargo, Érika Valencia aseguró que esta es la última vez que disculpa al futbolista Kevin Mina 😱

▶️ Mira el video aquí: https://t.co/MOsVikalUy https://t.co/vZXC0PLQCk",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,5,19,FALSE,NA,FALSE,NA,es,FALSE,NA,246,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-04T00:30:00Z,1621667350750847e3,1621667350750846976,"🗣️ 'La Bomba' volvió al Ecuador tras aproximadamente cuatro años de mudarse a los Estados Unidos. 

Esta es la razón de su regreso 📲 https://t.co/YdBOY0MHQW https://t.co/MUV2nWVHMZ","🗣️ 'La Bomba' volvió al Ecuador tras aproximadamente cuatro años de mudarse a los Estados Unidos. 

Esta es la razón de su regreso 📲 https://t.co/YdBOY0MHQW https://t.co/MUV2nWVHMZ",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,5,11,FALSE,NA,FALSE,NA,es,FALSE,NA,156,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
